Pseudomonas,Microcystis,Candidatus_Planktophila,Paenibacillus,Candidatus_Nanopelagicus,Limnohabitans,Streptomyces,Polynucleobacter,Synechococcus,Candidatus_Fonsibacter,Flavobacterium,Acidovorax,Candidatus_Methylopumilus,Halorubrum,Marinobacter,Hydrogenophaga,Acinetobacter,Salmonella,Variovorax,Bacillus,Cyanobium,Burkholderia,Rhodoferax,Mycolicibacterium,Dolichospermum,Comamonas,Anabaena,Cupriavidus,Starkeya,Bradyrhizobium,Escherichia,Sphingomonas,Mycobacterium,Diaphorobacter,Aeromonas,Psychroflexus,Shewanella
0.025201128,1.85619E-05,8.55645E-05,0.002198447,2.35329E-05,0.000106242,0.014873312,0.000207301,0.000234694,1.06295E-05,0.000151827,0.001668349,4.60081E-06,0.035688439,0.000204022,0.000951469,0.003516289,0.000435861,0.00244081,0.000472932,0.000173509,0.003554788,0.000578803,0.005147197,3.06721E-06,0.001531859,4.07727E-05,0.002823576,0.010838982,0.020254516,0.004158552,0.0264911,0.002696022,0.000849987,0.000504926,5.92288E-06,0.00014088
0.227955333,2.44954E-05,7.06421E-05,0.005585588,4.27522E-05,0.000296605,0.009299985,0.000481559,0.000666421,2.01835E-05,0.003315866,0.004183113,0.000105321,0.000164036,0.013122273,0.007036319,0.01805199,0.004101003,0.003121188,0.001157796,0.000177064,0.003886966,0.002346877,0.001925869,2.05504E-05,0.002321556,3.87155E-05,0.004515865,0.002057336,0.007166227,0.004114306,0.006898063,0.001639172,0.001311741,0.007875584,0.0037166,0.003976141
0.035596378,0.00016769,0.142208633,0.032344118,0.138872299,0.007686158,0.020119772,0.010841251,0.003503565,0.045262193,0.005560635,0.006742732,0.001288454,0.000596791,0.000817544,0.005166679,0.005961482,0.032097866,0.004734361,0.008544132,0.000491583,0.004821881,0.003702036,0.013176501,0.000192958,0.002724383,0.000387064,0.003068491,0.003003253,0.009511449,0.001869395,0.010830454,0.011979473,0.002775838,0.001348638,0.000148624,0.002119092
0.036616495,9.31985E-06,0.00021198,0.004228459,5.56689E-05,0.028808339,0.013829654,0.002656907,0.000405632,1.93903E-05,0.0016807,0.008843785,6.51138E-05,0.001136208,0.000686479,0.008811572,0.012518745,0.000728887,0.006100497,0.000766167,0.000178641,0.004396028,0.004217075,0.001967676,2.37687E-06,0.003925658,2.73966E-05,0.003904516,0.010447988,0.024073418,0.003453035,0.028044174,0.001742249,0.00333294,0.000808512,1.9703E-05,0.00043747
0.126549549,0.000135519,9.65887E-05,0.048947761,5.55543E-05,0.001023336,0.030402725,0.002344223,0.003225096,2.41998E-05,0.005410442,0.002756882,0.00086025,0.000726835,0.008269174,0.001966707,0.00545316,0.007838628,0.00235222,0.00686727,0.000275036,0.005887283,0.001308893,0.004985368,0.000244523,0.001985014,0.000148566,0.004254534,0.005162131,0.007137255,0.005509346,0.005902855,0.004104285,0.001061213,0.003592301,0.001106036,0.004684659
0.133361818,0.000125823,9.39638E-05,0.046895586,4.41589E-05,0.00102231,0.034375619,0.002365225,0.003207673,1.27033E-05,0.004897408,0.002766689,0.000834181,0.000999928,0.008446255,0.002029698,0.005607379,0.007614292,0.002436404,0.006204029,0.000271003,0.006242542,0.001264881,0.005953996,0.000230272,0.002043208,9.51736E-05,0.004488484,0.005195431,0.005544871,0.006963603,0.00535775,0.00469214,0.000991056,0.003863605,0.000939436,0.004889746
0.1293771,0.000131227,0.000120075,0.043682534,5.65529E-05,0.000798909,0.017225734,0.00184912,0.002428788,8.56259E-06,0.005253844,0.002810121,0.00068421,0.00053088,0.012320965,0.001598217,0.008212715,0.006281553,0.002307119,0.005018472,0.000211874,0.005514704,0.001159733,0.007744362,0.000206099,0.002331015,0.000129434,0.004081566,0.008364253,0.008860485,0.006184975,0.00896224,0.0026319,0.0011902,0.00356343,0.000935911,0.004282289
0.073011769,9.68229E-05,6.8775E-05,0.018684643,2.30531E-05,0.000216315,0.009574837,0.000615517,0.000949018,4.0599E-05,0.002132409,0.001577342,0.000249485,0.00054354,0.022963805,0.001118586,0.006424891,0.003436188,0.001530724,0.003217697,0.000141648,0.002780841,0.000691208,0.001723089,0.000109118,0.001072096,0.000196976,0.002225134,0.006048358,0.004641352,0.004687202,0.004416969,0.001657516,0.000898429,0.002754714,0.000336191,0.006197434
0.036318268,3.77098E-05,1.4222E-05,0.004668114,4.74066E-06,3.28255E-05,0.015424671,7.91547E-05,0.000390386,2.08302E-06,0.000244647,0.000783717,1.69515E-05,0.248441328,0.001878307,0.000522694,0.000606948,0.001287664,0.001184806,0.000622176,0.00010372,0.002715249,0.00042903,0.002435406,3.15326E-05,0.000748881,4.35279E-05,0.00164307,0.001636677,0.001674602,0.002752169,0.001375797,0.001926073,0.000224463,0.00140618,0.000221518,0.000527291
0.044226533,1.35065E-05,1.01126E-05,0.003031137,2.97836E-06,3.01992E-05,0.012500444,9.57923E-05,0.000342788,8.3117E-07,0.000310857,0.000901473,1.66234E-05,0.191962355,0.002521422,0.000593247,0.000826667,0.001544175,0.001176936,0.000661542,9.63464E-05,0.002426738,0.000557853,0.002080487,1.14286E-05,0.000864763,1.50303E-05,0.001826772,0.001543967,0.001482183,0.002035049,0.001175274,0.001705699,0.000258147,0.001885716,0.000315498,0.000719585
